,customer_state,product_id,product_category_name,product_name_lenght,product_description_lenght,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_state,payment_type,payment_sequential,payment_installments,installments_price,price,freight_value,payment_value,default
85919,SP,3bbacbe586e957acbf26c63b3ed532a3,pet_shop,53.0,1687.0,8750.0,50.0,8.0,45.0,SP,credit_card,1,10,31.9,144.9,14.41,318.62,1
44568,SP,524c471f4a5843ed7e79ef886d522948,papelaria,58.0,286.0,250.0,16.0,10.0,16.0,SP,credit_card,1,3,28.666666666666668,15.99,12.79,86.34,1
67734,SP,829b1d3da6a5e54d51055338281a5dfe,casa_conforto,58.0,432.0,2000.0,20.0,16.0,20.0,SP,boleto,1,1,554.0,88.99,9.38,553.88,1
5894,PR,b0961721fd839e9982420e807758a2a6,ferramentas_jardim,59.0,341.0,1850.0,37.0,22.0,40.0,SP,credit_card,1,4,116.25,59.9,17.67,465.42,1
94076,SP,2b6bdbd36e77e8c9909b853aa70863e1,informatica_acessorios,55.0,1525.0,2275.0,18.0,14.0,16.0,SP,credit_card,1,1,293.0,82.99,14.67,292.98,1
4452,MG,946b20e2799c73ad1f8f95440f723ce4,cama_mesa_banho,63.0,409.0,16800.0,45.0,15.0,35.0,SP,credit_card,1,10,83.6,210.0,61.85,835.55,1
60157,SP,33f789f4b4fa74053af0199658b78853,informatica_acessorios,30.0,385.0,480.0,27.0,16.0,15.0,SP,credit_card,1,2,85.5,30.0,12.69,170.76,1
105899,MG,846da0169591ba9433fe3a6ba6ba0373,utilidades_domesticas,51.0,482.0,617.0,40.0,13.0,25.0,SP,credit_card,1,6,29.166666666666668,79.0,18.9,174.81,1
45048,SP,1a4247b6eddc27c68f7995dcc68b01e2,beleza_saude,39.0,453.0,725.0,21.0,23.0,16.0,SP,credit_card,1,2,88.5,58.0,13.14,177.32,1
91400,RJ,b623b7cb05ee3248fbe4a6ecbeed79a4,brinquedos,41.0,673.0,3008.0,32.0,45.0,32.0,SP,boleto,1,1,160.0,70.97,8.88,159.69,1
22948,MS,216bb0e0cd43ffd832e0973d35e0377e,construcao_ferramentas_iluminacao,56.0,1082.0,200.0,16.0,16.0,16.0,SP,credit_card,1,8,40.25,46.0,18.42,322.1,1
97739,PR,401b500ac0cf49fd24047ba60015a7ae,ferramentas_jardim,45.0,899.0,1680.0,29.0,24.0,35.0,SP,credit_card,1,8,102.125,383.16,25.26,816.84,1
112170,MS,5b98dda956628fc9eb2e9c56db3dbcdf,perfumaria,55.0,1384.0,200.0,17.0,17.0,12.0,SP,boleto,1,1,105.0,34.0,18.34,104.68,1
112498,RJ,ee339563912cfcc8a006239baba4d8f3,construcao_ferramentas_construcao,59.0,822.0,1000.0,27.0,7.0,12.0,RJ,boleto,1,1,928.0,293.0,16.21,927.63,1
36489,SC,829874309190054ac199e75205ad6b33,cool_stuff,37.0,1160.0,100.0,16.0,16.0,16.0,SP,credit_card,1,1,12.0,49.95,15.1,11.91,1
44450,SP,09f6dccfebfa0688abfc1af640b69e61,esporte_lazer,15.0,328.0,150.0,28.0,5.0,14.0,SP,credit_card,1,3,28.33333333333333,33.9,14.22,84.64,1
5541,SC,389d119b48cf3043d311335e499d9c6b,ferramentas_jardim,59.0,341.0,1750.0,37.0,22.0,40.0,SP,credit_card,1,6,44.5,49.0,17.67,266.68,1
86104,RJ,5769ef0a239114ac3a854af00df129e4,telefonia_fixa,39.0,2493.0,750.0,16.0,16.0,16.0,SP,credit_card,1,1,13664.0,1680.0,28.01,13664.08,1
88886,DF,18e41d0c2a7cac6a8d53d3fcc13da3c4,informatica_acessorios,45.0,3890.0,1825.0,34.0,18.0,19.0,SP,boleto,1,1,1643.0,1180.95,0.21,1643.04,1
20996,SP,f7e5d0186f539b61586d7ddd247d2996,moveis_decoracao,49.0,833.0,2900.0,40.0,8.0,40.0,SP,credit_card,1,4,22.25,12.99,9.34,89.32,1
52585,DF,e7cc48a9daff5436f63d3aad9426f28b,telefonia,58.0,1500.0,700.0,32.0,15.0,21.0,BA,credit_card,1,1,383.0,170.0,21.46,382.92,1
74246,SP,af56e0203193f066ed64cbbbbf95ae6a,esporte_lazer,50.0,1290.0,750.0,25.0,7.0,25.0,SC,credit_card,1,4,37.75,59.9,15.36,150.52,1
92495,SP,ec3f8e78677c7e0395b155bc67417158,informatica_acessorios,60.0,334.0,850.0,34.0,14.0,14.0,SP,boleto,1,1,246.0,28.3,12.69,245.94,1
24829,MG,04c4a4b9c924494fcf82e0fba966f955,relogios_presentes,39.0,364.0,567.0,26.0,12.0,26.0,SC,credit_card,1,1,2.0,29.99,32.2,1.65,1
60206,SP,fb29f48bfea41db52e349454f433340e,informatica_acessorios,59.0,690.0,300.0,39.0,9.0,20.0,SP,credit_card,1,6,11.333333333333334,22.0,0.06,67.69,1
108485,SP,0b3de7b77f38988388362460d76d884f,beleza_saude,31.0,838.0,350.0,20.0,12.0,15.0,BA,credit_card,1,3,146.33333333333334,92.0,8.58,438.76,1
92169,PR,0eda670810c42c5fcf92ca8be2a615a9,esporte_lazer,55.0,365.0,150.0,18.0,6.0,15.0,SP,boleto,1,1,161.0,38.48,15.1,160.74,1
36972,SE,3cebb9158a3aa0b3f78ee0f934c9f032,esporte_lazer,41.0,423.0,1700.0,28.0,14.0,22.0,SC,credit_card,1,10,16.7,59.9,48.6,166.61,1
104481,SP,122cdd27eca7a057e97242c3642c5645,esporte_lazer,44.0,967.0,1000.0,62.0,7.0,36.0,SP,boleto,1,1,52.0,16.89,8.88,51.54,1
87319,SP,06bf70b6e1d67d96308235ef350edc61,brinquedos,48.0,284.0,950.0,105.0,10.0,11.0,SP,boleto,1,1,168.0,69.9,13.85,167.5,1
67626,SP,a1dd59756b92c62cd39375d0b0222698,cama_mesa_banho,52.0,153.0,200.0,16.0,10.0,16.0,SP,boleto,1,1,131.0,19.9,12.8,130.8,1
107382,RJ,2fea0f2cec6b6324a277d4a61c2ed2c6,beleza_saude,57.0,2026.0,100.0,11.0,11.0,11.0,SP,boleto,1,1,101.0,35.0,15.35,100.7,1
69416,MG,36df104745cb6dd332bd1eff627af709,utilidades_domesticas,46.0,1318.0,493.0,22.0,6.0,22.0,SP,boleto,1,1,99.0,9.73,15.1,99.32,1
57738,RJ,32e18e89237933ebdaaebd78a27e7fa1,utilidades_domesticas,48.0,464.0,1400.0,26.0,41.0,26.0,SP,boleto,1,1,214.0,26.18,16.6,213.9,1
72337,SP,639cacc61d50ee82079176b446399376,construcao_ferramentas_jardim,26.0,1221.0,300.0,25.0,16.0,16.0,PR,credit_card,1,3,33.0,35.89,13.47,98.72,1
19441,MG,ee57070aa3b24a06fdd0e02efd2d757d,informatica_acessorios,55.0,937.0,107.0,19.0,13.0,13.0,PR,credit_card,1,1,181.0,74.9,16.95,180.8,1
8099,SP,33489f0140308d65c48a7659b05bdba1,utilidades_domesticas,54.0,578.0,500.0,32.0,16.0,22.0,SP,credit_card,1,3,34.0,6.9,10.14,102.34,1
17368,RJ,44a064a339782c3cdd7e457b169ef0b0,informatica_acessorios,60.0,254.0,875.0,33.0,15.0,15.0,PR,boleto,1,1,1021.0,244.99,4.69,1021.48,1
99492,RS,1a758361b1c10b3ffe3d3373332de319,esporte_lazer,56.0,819.0,175.0,17.0,10.0,13.0,SP,credit_card,1,1,118.0,45.0,14.1,118.2,1
87371,RJ,9007d9a8a0d332c61d9dd611fa341f4b,papelaria,50.0,366.0,200.0,51.0,15.0,15.0,SP,credit_card,1,1,46.0,7.9,15.23,46.26,1
37427,MG,18a43ee7cdcd2dc5be2f2f063ad7a2bb,relogios_presentes,58.0,364.0,800.0,26.0,6.0,26.0,SC,boleto,1,1,263.0,48.9,16.79,262.76,1
15288,MG,ed2c05310cf23e947151d937c2571831,moveis_decoracao,59.0,2130.0,350.0,69.0,11.0,11.0,PR,credit_card,1,1,130.0,49.0,15.79,129.58,1
74111,SP,a9d9db064d4afd4458eb3e139fe29167,utilidades_domesticas,59.0,856.0,600.0,16.0,25.0,12.0,SP,credit_card,1,7,43.285714285714285,14.49,9.24,302.52,1
83048,SP,b8762d562d810c2f8d7ad7e9c12957be,utilidades_domesticas,38.0,130.0,350.0,20.0,45.0,20.0,SP,boleto,1,1,72.0,24.9,10.96,71.72,1
63230,SP,564f6ff7ae760d6eda6d32c551724036,cama_mesa_banho,60.0,298.0,2500.0,33.0,7.0,39.0,SP,credit_card,1,2,295.0,179.9,16.89,590.37,1
10884,SP,02965440ee186dd4f7f6e8f962a75c60,moveis_escritorio,52.0,1145.0,10013.0,58.0,56.0,23.0,SP,credit_card,1,10,43.2,189.94,25.84,431.56,1
109245,SP,991d9793febfe022d5db970595a99008,esporte_lazer,26.0,383.0,100.0,20.0,15.0,12.0,SP,voucher,6,1,15.0,29.0,7.94,15.48,1
26501,PI,30ac6df06dc59ad72cf2f158fc2d904c,utilidades_domesticas,53.0,1034.0,16550.0,22.0,65.0,40.0,SP,credit_card,1,10,84.1,120.0,48.28,841.4,1
107823,MG,c183fd5d2abf05873fa6e1014ed9e06c,agro_industria_e_comercio,53.0,1461.0,1500.0,22.0,16.0,24.0,RS,boleto,1,1,6082.0,989.1,24.49,6081.54,1
1144,SP,ee0c1cf2fbeae95205b4aa506f1469f0,perfumaria,44.0,334.0,200.0,16.0,16.0,13.0,SP,credit_card,1,10,21.0,44.99,7.58,210.28,1
46478,RO,c23381297fa734ea441a15d723199fb5,informatica_acessorios,60.0,789.0,200.0,20.0,20.0,20.0,SP,boleto,1,1,264.0,28.0,24.84,264.2,1
22870,SP,aca2eb7d00ea1a7b8ebd4e68314663af,moveis_decoracao,44.0,903.0,2600.0,50.0,10.0,30.0,SP,boleto,1,1,176.0,75.0,13.08,176.16,1
109736,SC,2f08de199f389c9b400128b0c7b750e4,moveis_decoracao,56.0,546.0,100.0,16.0,11.0,16.0,SP,credit_card,1,10,16.4,26.0,4.65,164.4,1
42801,SP,f8077831f3c3f393fb67b93c5acd8daf,casa_construcao,57.0,921.0,750.0,16.0,20.0,16.0,SP,credit_card,1,10,27.6,79.9,3.33,276.34,1
105092,PE,21fb5057dd6a737df6851a7ab7a130da,moveis_decoracao,52.0,709.0,7550.0,35.0,35.0,35.0,SP,credit_card,1,2,175.5,55.0,32.84,351.36,1
45582,RJ,fd424396761d9e1609c5516b7d8ce17b,automotivo,53.0,578.0,4825.0,61.0,34.0,36.0,SP,credit_card,1,10,19.5,76.38,21.02,194.8,1
11178,RJ,5403528d987ad26e8d7cb25940411987,relogios_presentes,58.0,600.0,250.0,16.0,2.0,11.0,SP,credit_card,1,1,139.0,49.0,15.47,138.94,1
71292,SP,7736ea239e147291f6adb766c992beb1,cama_mesa_banho,46.0,128.0,250.0,40.0,4.0,30.0,SP,credit_card,1,2,28.0,15.9,11.85,55.5,1
98916,RJ,ea1d9847778160f2d0c74950812fd8d0,automotivo,57.0,370.0,5600.0,30.0,25.0,25.0,MG,boleto,1,1,194.0,87.26,15.32,194.39,1
35086,RS,5b3b5f9ae84ca9ead3138b199420cc94,brinquedos,48.0,1146.0,5400.0,20.0,60.0,50.0,PR,boleto,1,1,253.0,139.0,17.51,253.02,1
99966,PR,2c8e38b2b220b65a306d88444defb4fd,construcao_ferramentas_ferramentas,53.0,462.0,200.0,16.0,16.0,16.0,MG,boleto,1,1,93.0,29.9,16.79,93.38,1
12231,SP,9686ff1a707a2d304c547f82535c5ee5,relogios_presentes,60.0,706.0,200.0,16.0,2.0,11.0,SP,credit_card,1,4,48.75,85.0,7.5,194.99,1
10632,MA,90b58782fdd04cb829667fcc41fb65f5,moveis_escritorio,34.0,794.0,7417.0,102.0,46.0,11.0,SP,credit_card,1,6,204.0,179.99,64.75,1223.7,1
74193,SP,83e2059df06602e05d9bc1abf28166ac,moveis_decoracao,57.0,1722.0,550.0,52.0,11.0,11.0,SP,credit_card,1,10,56.6,49.0,9.02,566.09,1
109246,SP,991d9793febfe022d5db970595a99008,esporte_lazer,26.0,383.0,100.0,20.0,15.0,12.0,SP,credit_card,1,1,18.0,29.0,7.94,17.94,1
104059,BA,c1d228e0eb297c790ce9981dac9c340a,automotivo,47.0,2116.0,1233.0,24.0,10.0,13.0,SP,voucher,2,1,89.0,42.5,16.79,88.84,1
40141,SP,25e2023ed83352bde98dc1490d14c3d8,brinquedos,30.0,1024.0,887.0,30.0,22.0,20.0,SP,credit_card,1,4,66.0,119.99,12.04,264.06,1
45473,SP,f4f67ccaece962d013a4e1d7dc3a61f7,automotivo,52.0,603.0,7625.0,61.0,14.0,61.0,SP,credit_card,1,10,42.0,241.1,20.82,420.05,1
47585,SP,cd48f265a63e13b762601f5f794c5fca,bebidas,48.0,859.0,175.0,23.0,21.0,21.0,SP,credit_card,1,6,10.833333333333334,47.49,9.94,64.86,1
47131,PE,81a266bbf4c7aa3113db84e81ca899b8,moveis_decoracao,63.0,254.0,1800.0,41.0,9.0,34.0,SP,credit_card,1,2,193.5,99.99,29.1,387.27,1
50139,RS,eb6c2ecde53034fc9ec47741b3232c9d,moveis_decoracao,49.0,829.0,500.0,20.0,35.0,20.0,SP,credit_card,1,9,10.88888888888889,32.99,16.11,98.2,1
94465,PR,69ddf2dd08328f81e57bdaf72c4f3b03,moveis_decoracao,47.0,1186.0,400.0,53.0,8.0,11.0,SP,credit_card,1,1,361.0,75.9,14.28,360.72,1
16475,MG,67ee002d7de2ab248bef398033830866,eletronicos,40.0,427.0,150.0,25.0,7.0,16.0,SP,credit_card,1,1,54.0,12.9,14.1,54.0,1
84766,BA,8cf306b87f5f0832d70505004465e39f,fashion_roupa_masculina,39.0,51.0,400.0,30.0,40.0,11.0,SP,credit_card,1,10,15.7,69.9,15.93,157.49,1
21004,DF,f7e5d0186f539b61586d7ddd247d2996,moveis_decoracao,49.0,833.0,2900.0,40.0,8.0,40.0,SP,boleto,1,1,56.0,12.99,15.11,56.2,1
93886,RJ,356bc9278252d4fb0c566e64612fc83e,construcao_ferramentas_jardim,55.0,2038.0,200.0,16.0,3.0,12.0,MG,credit_card,1,8,10.5,29.45,13.02,83.86,1
69628,SP,668b1e2b9471f837ba1797832e3f2012,telefonia,60.0,357.0,230.0,17.0,14.0,13.0,SP,credit_card,1,8,10.75,34.9,7.87,85.54,1
52939,GO,fb8c11da2e1b1634e879d1c3c6762dc2,pcs,56.0,1658.0,2400.0,16.0,31.0,39.0,BA,credit_card,2,5,160.2,850.0,35.36,800.72,1
64781,BA,d692d19cee022f7acab76373f297ad6a,cama_mesa_banho,56.0,286.0,1850.0,70.0,17.0,50.0,SP,credit_card,1,3,97.33333333333331,127.0,19.13,292.26,1
27302,SP,61963c77fd2c3db173915d9dc837ee12,cama_mesa_banho,55.0,804.0,16050.0,70.0,50.0,45.0,SP,credit_card,1,10,37.5,69.9,54.99,374.67,1
67382,SP,b8411dee248601bc460bac8e1fb8a102,cama_mesa_banho,56.0,471.0,525.0,24.0,7.0,29.0,SP,credit_card,1,1,119.0,22.99,15.49,119.27,1
69326,SP,b4ea7aecf6304f60fe63221697a8e33b,fashion_roupa_masculina,33.0,315.0,400.0,16.0,5.0,16.0,SC,boleto,1,1,142.0,43.0,14.59,142.08,1
27462,SP,e95fb3a80ca294f39de925b6428f3a32,cama_mesa_banho,29.0,263.0,1300.0,33.0,9.0,38.0,SP,credit_card,1,3,284.6666666666667,78.9,7.98,853.95,1
103121,RJ,ed464125465d8ab04c3615963d27395c,casa_construcao,56.0,904.0,700.0,39.0,7.0,39.0,SC,credit_card,1,8,30.625,109.0,13.27,244.54,1
109932,RJ,ec96b7b4e1401281edb9465d0d689cae,alimentos_bebidas,36.0,420.0,1200.0,16.0,23.0,13.0,SP,credit_card,1,5,50.4,39.99,22.93,251.68,1
46360,GO,ac25e2fbad9f60979fc3bfeda708178b,construcao_ferramentas_construcao,52.0,1548.0,114.0,16.0,12.0,17.0,SP,credit_card,1,3,55.0,39.92,15.1,165.06,1
84504,MG,abe322c6be89693af3c42ba847966166,utilidades_domesticas,58.0,1137.0,22450.0,43.0,68.0,41.0,SP,credit_card,1,1,367.0,117.8,65.91,367.42,1
55814,SP,1a69b9ec6d25d7656d024ad51f55c0ec,cama_mesa_banho,57.0,795.0,2950.0,19.0,35.0,31.0,SP,credit_card,1,5,52.6,179.9,14.11,263.02,1
109854,SP,f8e75ec247fd97a5e1abcaa48e9e971d,construcao_ferramentas_construcao,47.0,475.0,370.0,44.0,21.0,12.0,SP,credit_card,1,2,149.0,37.9,11.85,298.5,1
19006,SP,e5ae72c62ebfa708624f5029d609b160,informatica_acessorios,60.0,367.0,156.0,18.0,12.0,15.0,SP,credit_card,1,2,70.0,61.9,8.27,140.34,1
33063,SP,0a4f9f421af66d2ea061fbb8883419f7,beleza_saude,60.0,919.0,200.0,22.0,3.0,15.0,SP,credit_card,1,6,101.33333333333331,110.32,7.64,607.76,1
106030,SP,a03e401d58a45187271718c5d7610422,utilidades_domesticas,48.0,1297.0,9650.0,62.0,35.0,37.0,SP,boleto,1,1,1972.0,320.0,17.2,1972.03,1
67319,MG,d1859a58e608b68f4066e0c77e526ef1,cama_mesa_banho,54.0,634.0,800.0,20.0,16.0,20.0,SP,credit_card,1,6,36.66666666666666,38.99,16.11,220.4,1
65463,BA,47c064333cf67e5cdc8243db3f095767,utilidades_domesticas,63.0,369.0,1000.0,30.0,5.0,35.0,SP,credit_card,1,2,59.0,24.99,4.5,117.96,1
87045,PB,0b88409c52cfb9e93f9dcb06f2a37fd4,livros_interesse_geral,30.0,517.0,800.0,16.0,8.0,24.0,PR,credit_card,1,4,49.0,39.9,25.38,195.84,1
106401,DF,190d9562bfbe9d3ed876c2ac6f2f5894,beleza_saude,51.0,405.0,150.0,20.0,20.0,20.0,SP,credit_card,1,7,15.714285714285714,39.99,15.23,110.44,1
9686,SC,a9516a079e37a9c9c36b9b78b10169e8,moveis_escritorio,41.0,1141.0,8683.0,54.0,64.0,31.0,SP,credit_card,1,6,140.66666666666666,124.99,15.62,843.66,1
70157,SP,8e382dedd9ae71943f9a70f6725b748f,utilidades_domesticas,54.0,1161.0,650.0,20.0,12.0,43.0,PR,credit_card,1,3,165.66666666666666,79.9,28.59,497.07,1
38547,SP,688ad0169550f8e2eb0307b61df3ba12,cama_mesa_banho,41.0,515.0,1050.0,35.0,10.0,45.0,SP,credit_card,1,2,72.5,60.5,11.86,144.72,1
86756,SP,872db866d615db59612ac933f43d6b22,moveis_sala,31.0,609.0,9700.0,27.0,15.0,92.0,SP,credit_card,1,24,60.0,109.97,34.04,1440.1,1
67492,SP,10adb53d8faa890ca7c2f0cbcb68d777,cama_mesa_banho,52.0,155.0,200.0,16.0,10.0,16.0,SP,credit_card,1,6,12.333333333333334,19.9,12.79,74.47,1
49919,SP,b532349fe46b38fbc7bb3914c1bdae07,moveis_decoracao,49.0,829.0,850.0,20.0,25.0,20.0,SP,credit_card,1,1,98.0,35.0,13.83,97.66,1
70298,PR,93e27ca75901cf1b9d641cd11dd9f6e5,utilidades_domesticas,53.0,37.0,500.0,35.0,35.0,15.0,SP,credit_card,1,1,254.0,45.9,17.6,254.0,1
63647,SP,839c9cd22f47fc465c20d554b46fed2c,bebidas,27.0,766.0,267.0,18.0,13.0,15.0,SC,credit_card,1,3,65.0,20.85,18.23,195.4,1
107895,SP,471538735ac6433154a0288a62b96292,moveis_decoracao,33.0,492.0,400.0,16.0,22.0,18.0,SP,credit_card,1,1,85.0,34.0,8.72,85.44,1
112871,SP,00bb62ea3729537a687c3fddcd123662,automotivo,36.0,1241.0,12100.0,60.0,60.0,20.0,SC,credit_card,1,24,24.541666666666668,268.88,50.41,588.58,1
69066,ES,d86963242e7dda7eed04f57e492ed655,brinquedos,47.0,453.0,1100.0,43.0,6.0,30.0,SC,boleto,1,1,168.0,64.9,19.15,168.1,1
50024,MS,b532349fe46b38fbc7bb3914c1bdae07,moveis_decoracao,49.0,829.0,850.0,20.0,25.0,20.0,SP,credit_card,1,1,164.0,38.4,16.11,163.53,1
51116,MG,2ef36e1cae01b86d0ff0a2f50ff2bd53,moveis_decoracao,40.0,899.0,4100.0,30.0,35.0,30.0,SP,boleto,1,1,334.0,84.0,27.35,334.05,1
80164,SP,27415b11da7e8c4e6f14892108bdf02a,eletroportateis,59.0,763.0,200.0,28.0,9.0,18.0,SP,credit_card,1,1,64.0,24.5,7.39,63.78,1
82356,RJ,f497ba62f1d6b4f6a3a3266fa8623ad3,beleza_saude,45.0,1276.0,83.0,13.0,8.0,12.0,MG,boleto,1,1,145.0,58.2,14.16,144.72,1
49978,ES,b532349fe46b38fbc7bb3914c1bdae07,moveis_decoracao,49.0,829.0,850.0,20.0,25.0,20.0,SP,credit_card,1,2,51.5,35.0,16.32,102.64,1
8116,SP,553e0e7590d3116a072507a3635d2877,cama_mesa_banho,38.0,735.0,800.0,20.0,20.0,20.0,SP,credit_card,1,4,30.75,47.9,13.71,123.22,1
104267,RS,755073cc68bc18919f48e8544dcd73d7,sinalizacao_e_seguranca,45.0,614.0,1250.0,17.0,32.0,29.0,SP,boleto,1,1,165.0,64.39,18.25,165.28,1
